DATE,VICTORIA,VIVA,SEMILLA,CAMBIO,CABAL,AZUL,UNE,BIEN,FCN-NACION,VALOR-UNIONISTA,CREO,PC,TODOS,VAMOS,ELEFANTE,PHG,NOSOTROS,MI-FAMILIA,UR,VOS,URNG-WINAQ,PIN,REPUBLICANO
22/05/2023,98237.0333333333,57401.6,76529.3666666667,,930303.333333333,15392.2,103816.566666667,25840.1666666667,219529.966666667,66627.5,651,482393.333333333,1007.7,,,,42993.6,2913.56666666667,34811.1,26305.8666666667,1390.86666666667,33780.8,21090.9
23/05/2023,112371.6,63048.9666666667,85381.7,,942200,15425.4666666667,128878.6,27267.6,216400.333333333,72127.6666666667,660.966666666667,418046.633333333,1034.06666666667,,,,42698.7,2693.4,34435.2,31835.0333333333,1715.36666666667,34112.9666666667,21143.1666666667
24/05/2023,108776.633333333,72008.8,86399.8,,984536.666666667,15451.2,110623.2,21866.2,218497.766666667,91383.7333333333,667.666666666667,430733.3,1032.3,,,,32312.6333333333,3060.6,11284.9666666667,29779.5666666667,1942.96666666667,34194.5,21176.4666666667
25/05/2023,61782.2,75745.1666666667,93209.0333333333,,895930,15316.2333333333,134751.933333333,23180.4666666667,183322.1,308607.8,703,463366.666666667,1053.56666666667,,,,19145.1333333333,5357.5,12288.2666666667,42406.6,2085.46666666667,34296.2,21273.2666666667
26/05/2023,37191.7333333333,82236.1333333333,96991.9,,857219.966666667,15378.7666666667,86786.1333333333,24116.1666666667,169010.8,332619.733333333,704.533333333333,382130,1044.3,,,,21738.0333333333,7591.46666666667,13698.2333333333,34451.4333333333,2606.93333333333,34030.4333333333,15294.6666666667
27/05/2023,50121.8666666667,100393.1,108506.5,,669806.633333333,15348.2666666667,59267.1666666667,25970.3666666667,172418.833333333,488919.933333333,719.566666666667,529743.333333333,1059.93333333333,,,,23264.4,10359.6333333333,16712.3,45399.9666666667,2988.36666666667,34700.3333333333,15145.0666666667
29/05/2023,37510.0666666667,104207.166666667,52112.3333333333,,734393.333333333,15435.9333333333,59715.9,26523.8,175714.366666667,820581.066666667,747.766666666667,529250,686.566666666667,,,,18746.1333333333,10599.3333333333,14500.3666666667,39830.8333333333,3352.9,33169.3,15596.3333333333
30/05/2023,42559.9333333333,110859.333333333,33476.8666666667,,760993.966666667,15464.5333333333,65825.3,22613.8333333333,159629.133333333,826734.466666667,784.866666666667,557099.966666667,708.233333333333,,,,20160.9,10746.6333333333,16680.2666666667,50408.3666666667,3638.26666666667,33442.2,15884.9333333333
31/05/2023,43531.5,106549.233333333,27215.9333333333,,775373.333333333,15485.9,39086.8666666667,22323.3,157238.866666667,791509.3,777.033333333333,566033.333333333,726.7,,,,18866.0333333333,10883.2,17546.1333333333,62189.7333333333,4189.86666666667,33756.2666666667,15910.6333333333
01/06/2023,131035.466666667,113590.433333333,22225.4,,589723.333333333,15621.9,53040.4,23608.2333333333,147239.766666667,790202.7,753.966666666667,570866.666666667,757.166666666667,,,,24393.9333333333,11031.9,21231.9666666667,69426.0333333333,4963.3,33474.9333333333,16124.9666666667
02/06/2023,138207.4,117176.866666667,19357.1666666667,,604856.666666667,15666.3333333333,84262.4333333333,19092.1666666667,145080.5,706562.1,,629886.666666667,779.266666666667,,,,21561.1666666667,11705.1333333333,23504.8,50519.0666666667,5249.76666666667,33323.1,16407.1666666667
03/06/2023,144661.766666667,125777.733333333,15886.2666666667,,575865.433333333,15617.2,112477.966666667,16040.6,145804.366666667,701663.333333333,788.966666666667,659250,638.733333333333,,,,21950.0666666667,12483.2,22501.9,53906.3,5289.53333333333,26873.1333333333,16360.4333333333
04/06/2023,142930.533333333,132562.966666667,14400.9666666667,,524286.633333333,16381.9,168483.533333333,14161.6666666667,59687.4666666667,459445,784.8,736290,812.333333333333,,,,21972.4333333333,13083.5333333333,17999.5666666667,67680.3,4745.86666666667,21729.9333333333,16384.3333333333
06/06/2023,78989.9,120614,14130.0333333333,,444603.3,17224.5333333333,244646.233333333,31968.2666666667,63625.3333333333,609573,775.2,850589.966666667,874.166666666667,,,,24768.9666666667,13547.9666666667,17305.1333333333,50526.6666666667,4812.23333333333,18816.5666666667,16373.5333333333
07/06/2023,24391.9333333333,121696.933333333,15176.6333333333,,395750,17440.9666666667,254401.566666667,33940.9,67026.5333333333,447360.633333333,776.533333333333,934403.333333333,822.966666666667,,,,25747.8,13666.3666666667,21449.7333333333,61136.6333333333,4735.66666666667,18864.3666666667,7932.8
09/06/2023,26888.8,113770.8,14129.3333333333,,437196.666666667,17590.5,253129.866666667,38166.3666666667,46727.2,,803.033333333333,1035720,891.533333333333,,,,28723.7,13273.0333333333,17686.2666666667,62829.5666666667,4677.5,13119.0333333333,8073.7
10/06/2023,26628.9666666667,96890.9333333333,14390.7666666667,,453336.633333333,17772.0666666667,262413.633333333,41061.0333333333,52674.6666666667,518223.333333333,804.2,1099610,909.4,,,,30093.8333333333,13555.5,18623.6,81592.8666666667,4749.53333333333,13160.8,7921.46666666667
10/06/2023,26681.9666666667,96921.5,14400.9333333333,,453480,17772.2666666667,262458.266666667,41072.1,52691.7,518233.333333333,804.266666666667,1099726.66666667,909.466666666667,,,,30115.1,13555.9,18628.4333333333,81602.7666666667,4755.66666666667,13161,7921.9
11/06/2023,29796.4,87966.66666666667,16149.033333333333,1869.9666666666667,510320,17954.666666666668,131770,42540.333333333336,55895.23333333333,398311.2,824.9666666666667,1118403.3333333333,817.4666666666667,,,,33537.53333333333,13609.733333333334,22184.933333333334,159798.06666666668,5312.7,13168.433333333332,7901.166666666667
12/06/2023,30747.7,88744.76666666666,16480.333333333332,1881.3666666666666,526233.3333333334,17981.8,137626.86666666667,42897.2,57182.13333333333,399988.8333333333,827.3,1121940,829.2333333333333,,,,35095.26666666667,13633.066666666668,23303,161476.13333333333,5353,13206.6,7916.8
14/06/2023,27821.9,78754.96666666666,21356.366666666665,1920.7666666666667,479703.3333333333,17910.733333333334,197643.3,44575.2,62648.9,389640.73333333334,630.5,1156229.9666666666,890.1,,,,40921.86666666667,13757.733333333334,24515.066666666666,264408.06666666665,4547.966666666666,12661.466666666667,6822.266666666666
15/06/2023,33267.1,78438.46666666666,33208.9,1967.9,513723.3333333333,17869,147271,37923.63333333333,71942.5,240136.4,650.5,1135046.6666666667,952.2,,,,45320.1,13833.533333333333,19362,227402.73333333334,2214.6666666666665,12881.2,7059.1
17/06/2023,25268.966666666667,82742.43333333333,37896.36666666667,1988.9666666666667,455149.9666666667,17956,95924.33333333333,51843.76666666667,76109.1,95854.53333333334,542.0666666666667,1169556.6666666667,828.1333333333333,,,,53824.76666666667,13630.266666666666,16049.133333333333,83914.06666666667,2293.4333333333334,12894.466666666667,5543.033333333334
18/06/2023,9729.233333333334,80230.36666666667,40177,1998.6333333333334,450803.3333333333,17984.866666666665,72741.4,54343.36666666667,85108.93333333333,162465.33333333334,527.0666666666667,1215070,858,,,,49646.8,13817.433333333332,7591.5,180705.56666666668,2414.2,11237.566666666668,5922.933333333333
19/06/2023,10930.8,85040.73333333334,42180.833333333336,2049.133333333333,420960,18003.566666666666,48962.333333333336,55422.666666666664,89567.36666666667,225078.46666666667,720.4,1212940,908.6666666666666,,,,50141.26666666667,13802.833333333334,12468.8,163529.1,2543.0666666666666,11165.5,5970.533333333334
